,Flower Name,Season,Plant Type,Blooms,Zones,Sun Needs,Soil Needs,Features,Picture Link
0,Aconite,Spring,Flower,Early Spring,4--9,Partial Shade,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/winter-aconite-720790.jpg
1,Ageratum,Summer,Flower, Mid Summer,5--9,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/ageratum-773201.jpg
2,Allium,Spring,Flower,Late Spring ,3--10,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/purple-882161.jpg
3,Anemone,Spring,Flower,Mid Spring ,3--9,Full Sun / Partial Shade,"Well-drained, High fertility",Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/summer-anemone-224501.jpg
4,Angelica,Summer,Flower,Entire Summer,4--9,Partial Shade / Full Shade,"Well-drained, High fertility",Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/angelica-400956.jpg
5,Angelonia,Summer,Flower, Mid Summer,9--11,Full Sun,Damp,Tolerates heat,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/2826831993-e747eb6b05-b.jpg
6,Artemisia,Summer,Flower,Late Summer,6 --8,Full Sun,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/artemisia-vulgaris-848743.jpg
7,Aster,Spring,Flower,Late Spring ,4--8,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/aster-tongolensis-57764.jpg
8,Astilbe,Spring,Flower,Late Spring ,4--9,Full Sun / Partial Shade,"Well-drained, High fertility",Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/prachtspiere-167249.jpg
9,Aubrieta,Spring,Flower,Mid Spring ,4 --9,Full Sun,"Well-drained, High fertility",Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/blue-pillow-52188.jpg
10,Azalea,Spring,Flower,Entire Spring,3 --6,Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-678629.jpg
11,Balloon Flower,Summer,Flower,Entire Summer,4 --9,Full Sun / Partial Shade,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/balloon-flower-829670.jpg
12,Balsam,Summer,Flower,Early Summer ,3 --7,Full Sun / Partial Shade,Well-drained,Tolerates heat,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/balsam-408530.jpg
13,Baneberry,Spring,Flower,Late Spring,3 --9,Partial Shade / Full Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/actaea-spicata-baneberry.jpg
14,Basket of Gold,Spring,Flower,Late Spring ,4 --8,Full Sun,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flowers-882835-640.jpg
15,Bee Balm,Summer,Flower, Mid Summer,4 --9,Full Sun / Partial Shade,Damp,"Attracts bees, butterflies",https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/bee-balm-1043110.jpg
16,Begonia,Spring,Flower,Late Spring ,8 --10,Full Sun / Partial Shade,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-788969.jpg
17,Bellflower,Summer,Flower,Early Summer,3 --8,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/bellflower-296124.jpg
18,Bergenia,Spring,Flower,Entire Spring,3 --8,Full Sun / Partial Shade,Damp,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/bergenia-407884.jpg
19,Blackeyed Susan,Summer,Flower,Late Summer ,3 --9,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/black-eyed-susan-334122.jpg
20,Bleeding Heart,Spring,Flower,Late Spring ,3 --9,Partial Shade,"Well-drained, Damp",Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/plant-859459.jpg
21,Bloodroot,Spring,Flower,Early Spring,3 --9,Partial Shade / Full Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-554511.jpg
22,Boneset,Summer,Flower,Late Summer ,4 --9,Full Sun / Partial Shade,Well-drained,"Attracts bees, butterflies",https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/eupatorium-perfoliatum-sca-04381.jpg
23,Browallia,Summer,Flower, Mid Summer,2 --11,Partial Shade / Full Shade,Well-drained,Attracts humingbirds,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/img-7246-browallia-speciosa.jpg
24,Bugleweed,Spring,Flower,Late Spring ,3 --9,Partial Shade / Full Shade,Well-drained,Tolerates heat,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/ajuga-reptans-846545.jpg
25,Bugloss,Summer,Flower,Entire Summer,3 --8,All Sun Types,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/blue-87504.jpg
26,Buttercup,Spring,Flower,Late Spring ,3 --8,Full Sun / Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/buttercup-841225.jpg
27,Butterfly Weed,Summer,Flower, Mid Summer,4 --9,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/butterfly-weed-50188.jpg
28,Caladium,Spring,Flower,Early Spring ,10 --11,Partial Shade / Full Shade,"Well-drained, Damp",Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/caladium-673899.jpg
29,Calendula,Spring,Flower,Late Spring ,9 --11,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/marigold-437818.jpg
