State,0
kentucky,"https://purewows3.imgix.net/images/articles/2016_10/bourbon.png?auto=format,compress&cs=strip"
wyoming,"https://purewows3.imgix.net/images/articles/2016_10/cow.png?auto=format,compress&cs=strip"
wisconsin,"https://purewows3.imgix.net/images/articles/2016_10/corn1.png?auto=format,compress&cs=strip"
west virginia,"https://purewows3.imgix.net/images/articles/2016_10/golden.png?auto=format,compress&cs=strip"
washington,"https://purewows3.imgix.net/images/articles/2016_10/apple1.png?auto=format,compress&cs=strip"
virginia,"https://purewows3.imgix.net/images/articles/2016_10/grapes.png?auto=format,compress&cs=strip"
vermont,"https://purewows3.imgix.net/images/articles/2016_10/syrup.png?auto=format,compress&cs=strip"
utah,"https://purewows3.imgix.net/images/articles/2016_10/barley.png?auto=format,compress&cs=strip"
texas,"https://purewows3.imgix.net/images/articles/2016_10/pean.png?auto=format,compress&cs=strip"
tennessee,"https://purewows3.imgix.net/images/articles/2016_10/whiskey.png?auto=format,compress&cs=strip"
south dakota,"https://purewows3.imgix.net/images/articles/2016_10/slaxseed.png?auto=format,compress&cs=strip"
south carolina,"https://purewows3.imgix.net/images/articles/2016_10/collard.png?auto=format,compress&cs=strip"
rhode island,"https://purewows3.imgix.net/images/articles/2016_10/rhodeisland.png?auto=format,compress&cs=strip"
pennslyvania,"https://purewows3.imgix.net/images/articles/2016_10/shroom.png?auto=format,compress&cs=strip"
oregon,"https://purewows3.imgix.net/images/articles/2016_10/hops.png?auto=format,compress&cs=strip"
oklahoma,"https://purewows3.imgix.net/images/articles/2016_10/peanuts.png?auto=format,compress&cs=strip"
ohio,"https://purewows3.imgix.net/images/articles/2016_10/ohio.png?auto=format,compress&cs=strip"
north dakota,"https://purewows3.imgix.net/images/articles/2016_10/sunflowers.png?auto=format,compress&cs=strip"
north carolina,"https://purewows3.imgix.net/images/articles/2016_10/northcarolina.png?auto=format,compress&cs=strip"
new york,"https://purewows3.imgix.net/images/articles/2016_10/apple.png?auto=format,compress&cs=strip"
new mexico,"https://purewows3.imgix.net/images/articles/2016_10/newmexico.png?auto=format,compress&cs=strip"
new jersey,"https://purewows3.imgix.net/images/articles/2016_10/tomatoes.png?auto=format,compress&cs=strip"
new hamshire,"https://purewows3.imgix.net/images/articles/2016_10/pumpkin.png?auto=format,compress&cs=strip"
nevada,"https://purewows3.imgix.net/images/articles/2016_10/alflfa.png?auto=format,compress&cs=strip"
nebraska,"https://purewows3.imgix.net/images/articles/2016_10/sugarbeet.png?auto=format,compress&cs=strip"
montana,"https://purewows3.imgix.net/images/articles/2016_10/beans.png?auto=format,compress&cs=strip"
missouri,"https://purewows3.imgix.net/images/articles/2016_10/missouri.png?auto=format,compress&cs=strip"
mississippi,"https://purewows3.imgix.net/images/articles/2016_10/maize.png?auto=format,compress&cs=strip"
minnesota,"https://purewows3.imgix.net/images/articles/2016_10/minnesota.png?auto=format,compress&cs=strip"
michagan,"https://purewows3.imgix.net/images/articles/2016_10/michigan.png?auto=format,compress&cs=strip"
massachusetts,"https://purewows3.imgix.net/images/articles/2016_10/mass.png?auto=format,compress&cs=strip"
maryland,"https://purewows3.imgix.net/images/articles/2016_10/crabs.png?auto=format,compress&cs=strip"
maine,"https://purewows3.imgix.net/images/articles/2016_10/blueberry.png?auto=format,compress&cs=strip"
louisiana,"https://purewows3.imgix.net/images/articles/2016_10/louisianna.png?auto=format,compress&cs=strip"
kansas,"https://purewows3.imgix.net/images/articles/2016_10/kansas.png?auto=format,compress&cs=strip"
indiana,"https://purewows3.imgix.net/images/articles/2016_10/wheat.png?auto=format,compress&cs=strip"
iowa,"https://purewows3.imgix.net/images/articles/2016_10/corn.png?auto=format,compress&cs=strip"
illinois,"https://purewows3.imgix.net/images/articles/2016_10/soybean.png?auto=format,compress&cs=strip"
idaho,"https://purewows3.imgix.net/images/articles/2016_10/idah.png?auto=format,compress&cs=strip"
hawaii,"https://purewows3.imgix.net/images/articles/2016_10/pineapple.png?auto=format,compress&cs=strip"
georgia,"https://purewows3.imgix.net/images/articles/2016_10/georgia.png?auto=format,compress&cs=strip"
florida,"https://purewows3.imgix.net/images/articles/2016_10/florida.png?auto=format,compress&cs=strip"
delaware,"https://purewows3.imgix.net/images/articles/2016_10/delaware.png?auto=format,compress&cs=strip"
connecticut,"https://purewows3.imgix.net/images/articles/2016_10/conn.png?auto=format,compress&cs=strip"
colorado,"https://purewows3.imgix.net/images/articles/2016_10/marijuana.png?auto=format,compress&cs=strip"
california,"https://purewows3.imgix.net/images/articles/2016_10/california.png?auto=format,compress&cs=strip"
arizona,"https://purewows3.imgix.net/images/articles/2016_10/lettuce.png?auto=format,compress&cs=strip"
arkansas,"https://purewows3.imgix.net/images/articles/2016_10/melon.png?auto=format,compress&cs=strip"
alaska,"https://purewows3.imgix.net/images/articles/2016_10/cabage.png?auto=format,compress&cs=strip"
alabama,"https://purewows3.imgix.net/images/articles/2016_10/blackberries.png?auto=format,compress&cs=strip"
