State,0
Alabama,Blackberries
Alaska,Cabbage 
Arizona,Lettuce
Arkansas,Watermelon
California, Avocados
Colorado,Marijuana
Connecticut,Asian Pears
Delaware,Strawberries
Florida,Honeybell Oranges
Georgia,Peaches
Hawaii,Pineapple
Idaho,Russet Potatoes
Illinois,Soybeans
Indiana,Winter Wheat
Iowa,Corn
Kansas,Sorghum
Kentucky,Bourbon
Louisiana,Sugarcane
Maine,Blueberries
Maryland,Crabs
Massachusetts,Cranberries
Michigan,Cherries
Minnesota,Honeycrisp Apples
Mississippi,Maize
Missouri, Hay
Montana,Beans
Nebraska,Sugar beets
Nevada,Alfalfa Seed
New Hampshire, Pumpkins
New Jersey,Tomatoes
New Mexico,Green Chile Peppers
New york,Cortland Apples
North Carolina,Sweet Potatoes
North Dakota,Sunflowers
Ohio,Pawpaw
Oklahoma,Peanuts
Oregon,Hops
Pennsylvania,Mushrooms
Rhode Island,RI Greening Apples
South Carolina,Collard Greens
South Dakota,Flaxseed
Tennessee,Jack Daniel's Whiskey
Texas,Pecans 
Utah,Barley
Vermont,Maple Syrup
Virginia,Grapes
Washington,Apples
West Virginia,Golden Delicious Apples
Wisconsin,Sweet Corn
Wyoming,Livestock
