,0,1
0,Early,Spring
1,Mid‑Summer,
2,Late,Spring
3,Mid,Spring
4,Summer,
5,Mid‑Summer,
6,Late,Summer
7,Late,Spring
8,Late,Spring
9,Mid,Spring
10,Spring,
11,Summer,
12,Early,Summer
13,Late,Spring
14,Late,Spring
15,Mid‑Summer,
16,Late,Spring
17,Early,Summer
18,Spring,
19,Late,Summer
20,Late,Spring
21,Early,Spring
22,Late,Summer
23,Mid‑Summer,
24,Late,Spring
25,Summer,
26,Late,Spring
27,Mid‑Summer,
28,Early,Spring
29,Late,Spring
30,Early,Summer
31,Late,Spring
32,Mid‑Summer,
33,Early,Spring
34,Mid‑Summer,
35,Early,Summer
36,Mid‑Summer,
37,Late,Spring
38,Mid‑Summer,
39,Late,Spring
40,Mid‑Summer,
41,Mid‑Summer,
42,Mid,Spring
43,Late,Spring
44,Mid‑Summer,
45,Late,Summer
46,Early,Summer
47,Mid‑Summer,
48,Early,Spring
49,Mid,Spring
50,Mid,Spring
51,Early,Spring
52,Spring,
53,Mid‑Summer,
54,Mid‑Summer,
55,Late,Spring
56,Early,Summer
57,Early,Summer
58,Late,Summer
59,Mid,Spring
60,Mid,Spring
61,Mid,Spring
62,Mid‑Summer,
63,Late,Spring
64,Late,Spring
65,Early,Summer
66,Late,Spring
67,Mid‑Summer,
68,Early,Summer
69,Early,Summer
70,Late,Spring
71,Mid‑Summer,
72,Early,Spring
73,Summer,
74,Summer,
75,Mid‑Summer,
76,Mid‑Summer,
77,Early,Spring
78,Mid‑Summer,
79,Summer,
80,Mid‑Summer,
81,Mid‑Summer,
82,Early,Summer
83,Early,Spring
84,Mid,Spring
85,Late,Spring
86,Summer,
87,Mid‑Summer,
88,Summer,
89,Mid‑Summer,
90,Late,Summer
91,Early,Summer
92,Spring,
93,Early,Summer
94,Summer,
95,Late,Spring
96,Summer,
97,Early,Summer
98,Late,Spring
99,Mid‑Summer,
100,Early,Summer
101,Early,Summer
102,Early,Summer
103,Mid‑Summer,
104,Early,Spring
105,Mid‑Summer,
106,Spring,
107,Mid‑Summer,
108,Summer,
109,Mid,Spring
110,Early,Summer
111,Early,Summer
112,Mid‑Summer,
113,Spring,
114,Early,Spring
115,Mid‑Summer,
116,Early,Spring
117,Late,Spring
118,Mid‑Summer,
119,Early,Summer
120,Mid‑Summer,
121,Mid‑Summer,
122,Late,Spring
123,Late,Spring
124,Late,Spring
125,Mid‑Summer,
126,Early,Spring
127,Mid‑Summer,
128,Late,Spring
129,Early,Spring
130,Mid,Spring
131,Early,Spring
132,Mid‑Summer,
133,Early,Summer
134,Late,Spring
135,Late,Spring
136,Mid‑Summer,
137,Mid‑Summer,
138,Mid‑Summer,
139,Mid‑Summer,
140,Late,Spring
141,Spring,
142,Mid‑Summer,
143,Early,Spring
144,Mid,Spring
145,Mid‑Summer,
146,Early,Spring
147,Mid‑Summer,
148,Late,Spring
149,Mid‑Summer,
150,Mid‑Summer,
